Código UF,Unidade da Federação,UF
53,Distrito Federal,DF
52,Goiás,GO
51,Mato Grosso,MT
50,Mato Grosso do Sul,MS
43,Rio Grande do Sul (*),RS
42,Santa Catarina,SC
41,Paraná,PR
35,São Paulo,SP
33,Rio de Janeiro,RJ
32,Espírito Santo,ES
31,Minas Gerais,MG
29,Bahia,BA
28,Sergipe,SE
27,Alagoas,AL
26,Pernambuco,PE
25,Paraíba,PB
24,Rio Grande do Norte,RN
23,Ceará,CE
22,Piauí,PI
21,Maranhão,MA
17,Tocantins,TO
16,Amapá,AP
15,Pará,PA
14,Roraima,RR
13,Amazonas,AM
12,Acre,AC
11,Rondônia,RO
